"Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score","Median.Income","Percent.Population.Obese"
"ADAIR MO",12.76,4,0.4,4,0.93,12.125,19989,13,51,34733,28.611
"ADAMS CO",11.210625,3.66666666666667,0.592714285714286,2.66666666666667,0.973333333333333,8.69333333333333,19578.6666666667,12.5333333333333,52.5,56270,24.478
"ADAMS MS",2.332,2,0.46225,2,1.16,22.02,18428.5,14.2,51.5,27381,35.663
"ALAMANCE NC",15.8345454545455,3,0.980142857142857,3,0.91,10.3333333333333,19019.5,14.4,49.6666666666667,43043,31.264
"ALAMEDA CA",11.0716949152542,2.66666666666667,0.8254125,2.5,1,5.6675,19626.7368421053,11.5,59.6666666666667,72112,20.453
"ALBANY NY",11.6315625,2.33333333333333,0.843909090909091,2.33333333333333,0.96,6.52307692307692,19579.3333333333,12,46.6666666666667,59394,24.743
"ALBEMARLE VA",17.5972727272727,4,0.625142857142857,3,0.93,8.98333333333333,17649.5,11.5,66.3333333333333,67725,23.937
"ALCORN MS",17.85,4,0.498857142857143,2,0.96,10.45,18797,12,53,33600,31.327
"ALEXANDRIA CITY VA",14.5436363636364,2,1.18614285714286,3,0.99,10.65,19580.5,10,54,85706,20.689
"ALLEGHANY VA",2.186,3,0.307666666666667,3,0.92,11.4166666666667,18503,12.8,52,44848,27.416
"ALLEGHENY PA",11.4796178343949,2.86666666666667,0.821038461538461,3,1.05866666666667,9.59285714285714,20457.3214285714,11.4666666666667,53.875,51366,25.765
"ALLEN IN",9.65178571428572,3.5,0.811148148148148,3.66666666666667,0.99,9.82,18213.1428571429,13.05,47.6666666666667,49370,29.322
"ALLEN OH",10.7021428571429,3.66666666666667,0.445,4,0.97,9.52142857142857,20026.25,11.3,19,42823,32.573
"ALPENA MI",14.0509090909091,3,0.795,4,1,12.5333333333333,19466.5,11.2,47.25,38016,30.274
"AMADOR CA",15.8045454545455,3,0.487333333333333,2,0.92,10.92,20981.5,13.1,52,53684,23.6
"ANDERSON TX",12.9436363636364,2,0.175333333333333,3,1.05,9.625,19740.5,13,48.5,40653,30.386
"ANDROSCOGGIN ME",14.3022727272727,3,0.673333333333333,3.5,0.985,5.87272727272727,18070.25,12.85,49.3333333333333,44921,29.219
"ANOKA MN",12.365,3.5,0.560733333333333,4.5,0.905,2.47142857142857,19296.25,11.55,49.2,70380,28.593
"ARAPAHOE CO",13.55,3.33333333333333,0.798608695652174,3.66666666666667,1.02333333333333,6.84666666666667,19447.3333333333,11.0333333333333,52.5,60651,19.926
"ARMSTRONG PA",2.175,3,0.36625,4,0.94,13.4,19573.5,10.4,45.5,45241,30.953
"AROOSTOOK ME",6.59448275862069,4,0.728375,3.75,0.873333333333333,9.76470588235294,18121.5,11.875,51.5,37855,30.148
"ASHTABULA OH",1.87235294117647,3.66666666666667,0.252,4,0.885,4.72727272727273,18866,10.3333333333333,52.875,40516,29.37
"ATLANTIC NJ",17.0113636363636,3,0.593866666666667,3.5,1.01,5.46666666666667,20472.75,11.35,60,54235,26.387
"AUGLAIZE OH",1.35888888888889,4,0,4,1,7.16666666666667,19054,11.6,52,52239,30.921
"BALDWIN AL",11.354,3.66666666666667,0.5745625,3,0.936666666666667,15.0142857142857,18096.6,12.6,49.5,50221,25.661
"BARNSTABLE MA",14.0945454545455,3,0.749285714285714,3.5,1.01,10.43,19397.75,11,58.3333333333333,60526,18.811
"BARTHOLOMEW IN",14.3654545454545,3,0.756375,4,0.97,9.55,20690,11.8,100,54165,29.83
"BARTOW GA",13.7336363636364,3,0.834428571428571,4,0.96,4.16,19100,9.2,54,47197,28.792
"BAXTER AR",15.1918181818182,3,0.891285714285714,3,0.97,12.05,20315.5,14.3,63,35343,27.714
"BAY FL",13.8554545454545,2.5,0.566133333333333,3.5,1.065,9.28,20530,9.65,91,47461,26.438
"BEAUFORT SC",15.2971428571429,3,0.786857142857143,3,0.96,8.50909090909091,18757,12.6,49.5,57316,21.086
"BELKNAP NH",15.0172727272727,3,0.3635,3,1.02,9.18333333333333,19799.5,13,58,58654,26.267
"BELL TX",9.908125,4,0.441857142857143,3.66666666666667,0.973333333333333,11.75,19359.5,11.2666666666667,39.3333333333333,50060,28.252
"BELMONT OH",1.16071428571429,3.5,0.4076,3.5,1.01,12.0857142857143,18709.6666666667,12.2,54.6666666666667,41534,29.771
"BENNINGTON VT",2.152,4,0.17225,4,0.93,10.9333333333333,17808.5,11.3,54,50221,22.736
"BENTON AR",7.63473684210526,3.33333333333333,0.332818181818182,3.33333333333333,0.975,9.21818181818182,18015.6666666667,11.8666666666667,51,54515,27.063
"BERGEN NJ",11.3585245901639,3,0.645024390243902,3,1.09166666666667,10.375,21228.6,10.92,68,83794,20.139
"BERKELEY WV",15.0545454545455,2,0.347285714285714,3,0.95,12.1666666666667,17967.5,13.1,68.6666666666667,53515,32.641
"BERKSHIRE MA",16.6975,4,0.313,4,1.01,7.04545454545455,18559,12.6,48.8333333333333,48450,22.008
"BERNALILLO NM",9.6175,2.8,0.866030303030303,2.8,0.948,7.86818181818182,17632.75,11.9,50.75,48801,19.254
"BERRIEN MI",9.24888888888889,4.5,0.391571428571429,3.5,0.955,8.7375,18459,13.65,52.5,43633,31.773
"BEXAR TX",11.6689423076923,3.45454545454545,0.755464285714286,3.5,1.00636363636364,5.05161290322581,20912.5,11.1,56.125,50112,27.037
"BIBB GA",12.9956666666667,2.66666666666667,1.01245,3,1.00333333333333,3.37692307692308,18400.8,10.9,54.5,37550,30.062
"BLACK HAWK IA",10.5,3,0.66725,2.66666666666667,0.976666666666667,7.89333333333333,19910.4,14.2333333333333,55,45747,27.736
"BLAIR PA",10.0452380952381,3.66666666666667,0.551636363636364,3,1.055,9.45,18347.5,12.7333333333333,82.4,42992,31.366
"BOONE AR",14.9827272727273,3,0.358,3,0.91,16.9,19156,13.1,47.3333333333333,38506,28.121
"BOONE IN",2.412,4,0.794,4,0.97,15.5,18293.5,12.5,48.6666666666667,67255,28.336
"BOONE KY",15.742,3,1.06375,3,1.04,8.51666666666667,20826.5,10.6,55,67225,29.185
"BOULDER CO",12.0418604651163,3.5,0.81856,3.25,0.975,6.25,19978,12.025,44.5,67956,13.383
"BOWIE TX",16.4377272727273,3.5,0.811,2.5,1.075,15.975,19701.25,11.65,62.3333333333333,42346,30.394
"BOYD KY",14.4177272727273,4,0.586333333333333,3,0.955,12.0416666666667,18981.75,11.6,58,40379,33.458
"BOYLE KY",13.0472727272727,3,1.298,2,0.96,11.6666666666667,20373,13.7,52,41473,29.704
"BRADFORD PA",9.84529411764706,3.66666666666667,0.757818181818182,2.66666666666667,0.905,9.27333333333333,17126.5,12.6333333333333,59.6,46963,29.991
"BRADLEY TN",18.5163636363636,2,0.745,2,1.02,9.75,18383,14.2,50,41083,29.635
"BRANCH MI",2.137,4,0.34525,4,0.93,14.8,17744,11.5,52.3333333333333,41856,31.096
"BRAZORIA TX",1.80071428571429,3,0.377333333333333,3,1.085,9.51428571428571,17259.5,15.2,50,67603,28.932
"BRAZOS TX",10.2189473684211,4.25,0.809058823529412,3,0.955,12.3764705882353,19871.3333333333,12.0666666666667,51.5,38310,26.856
"BREVARD FL",13.3426315789474,3.14285714285714,0.517382978723404,3.28571428571429,1.01571428571429,7.16111111111111,20582.8571428571,11.5857142857143,63.875,48039,25.195
"BRISTOL MA",14.9429545454545,3,0.585466666666667,3,1.03,9.5375,20058.25,11.55,51.6666666666667,55298,27.459
"BRONX NY",9.8987037037037,1.66666666666667,0.799790697674419,1.5,0.98,7.14761904761905,18490.0909090909,10.65,73.6666666666667,34388,26.618
"BROOME NY",15.4004545454545,2.5,0.738928571428571,1.5,0.915,10.71,16489.25,13.85,56.5,45958,27.267
"BROOMFIELD CO",14.0018181818182,3,1.03016666666667,4,0.92,3.275,20435.5,13.4,45,77998,19.113
"BROWARD FL",9.88748299319728,2.71428571428571,0.622457943925234,2.57142857142857,1.04785714285714,8.34642857142857,21141.8214285714,11.05,55,51251,22.318
"BRUNSWICK NC",13.6,3,0.3554,3,0.92,7.8,17243.3333333333,12.95,50.4,46438,27.276
"BRYAN OK",14.375,2,0.54275,3,1,11.25,17851,11.5,55.5,38897,30.911
"BUCHANAN MO",12.0681818181818,3,0.654285714285714,5,0.95,10.2333333333333,18580.5,11.8,100,44363,33.192
"BUCKS PA",10.3898305084746,3.5,0.751551724137931,3.8,0.95,8.43703703703704,19569.6,11.74,49,76555,23.848
"BURKE NC",12.5627272727273,3,0.606857142857143,3,0.95,9.21666666666667,18421,11.7,49.3333333333333,37263,29.051
"BURLINGTON NJ",15.6096774193548,3,0.69765,3,1.03333333333333,3.87857142857143,20976.3333333333,10.4666666666667,54,78446,26.157
"BUTLER KS",9.1725,3.5,0.279166666666667,3.5,0.965,10.3777777777778,18702.3333333333,12.2,51.5,56454,29.946
"BUTLER MO",9.8525,3,0.534285714285714,2.5,0.97,13,20761.5,12.4,47,34969,32.355
"BUTLER OH",11.6304761904762,4,0.6786,3.75,1.005,9.60454545454546,19417.8571428571,12.45,52,56610,29.823
"BUTLER PA",12.8218181818182,3,0.694,4,1.03,11.55,19704,12.9,54,58230,27.19
"BUTTE CA",13.1909090909091,2.66666666666667,0.451,2.75,0.886666666666667,8.71578947368421,18357.5714285714,11.2,54.75,43752,24.018
"CABARRUS NC",13.1981818181818,3,0.779,3,0.99,9.18333333333333,18306.5,12.6,53.5,53551,28.665
"CABELL WV",16.3286363636364,3,1.36573333333333,2.5,0.985,9.65,18282.5,12.2,50.25,38374,31.57
"CACHE UT",2.35666666666667,4,0.606714285714286,4,0.985,9.4,17666.5,12.3,55.75,49506,22.337
"CALDWELL NC",14.411,3,0.579666666666667,2,1.05,13.96,18888.5,12.9,53,34357,29.359
"CALHOUN AL",8.112,3,0.4897,2.66666666666667,1.03666666666667,13.9133333333333,19110,12.7,60.8,39962,32.069
"CALHOUN MI",13.8463636363636,3.5,0.942818181818182,4,0.94,5.81,17527.3333333333,12.05,47.6,42110,31.959
"CALLOWAY KY",2.348,4,1.0996,3,0.98,10.2333333333333,16721.5,14.2,53.5,39677,27.058
"CAMBRIA PA",10.03375,3,0.545375,2,0.92,7.96666666666667,18328,11.75,52,41730,30.84
"CAMDEN MO",15.0645454545455,3,0.772833333333333,3,0.9,2.225,19582.5,12.3,70,43458,28.199
"CAMDEN NJ",15.0675,2.5,0.794258064516129,3.25,1.0325,8.46818181818182,20791.125,10.4,56.1428571428571,61683,26.978
"CAMPBELL KY",14.332,3,1.328875,4,0.99,3.75,18383,11.2,54,54306,29.722
"CANYON ID",2.0825,3,0.588,4,0.925,4.3,17934.75,12.35,55,42105,29.466
"CAPE MAY NJ",14.8281818181818,3,1.223,3,1,9.1,21517.5,12,51.25,56494,25.276
"CARBON PA",1.49444444444444,2,0.13275,2.5,1.02,10.8111111111111,18993,12.85,57,48900,30.448
"CARROLL GA",8.33055555555556,3.5,0.461833333333333,3,0.965,7.18,19805,13.2,53.5,46147,30.149
"CARSON CITY NV",8.53666666666667,3.5,0.6997,3.5,0.925,10.8454545454545,16545,12.35,52.5,51957,22.669
"CARTER OK",17.7681818181818,3,0.625,3,1,12.75,19820.5,11.6,44,41401,31.02
"CARTER TN",1.67555555555556,4,0.4305,4,1.04,12.76,19077.5,11.3,50,31842,30.366
"CARTERET NC",14.5563636363636,4,0.701,3,0.92,11.4333333333333,18811,13.9,45.25,46534,26.991
"CARVER MN",2.208,4,0.7172,4,0.95,2.675,18161,13.3,52.5,83773,25.152
"CATAWBA NC",17.1933333333333,3.5,0.482285714285714,3,0.98,8.70833333333333,18626.5,13.9,68,44332,27.583
"CATTARAUGUS NY",15.3881818181818,2,0.883571428571429,2,0.99,5.9,19137,12.2,53,42603,27.382
"CAYUGA NY",2.31,2,0.942166666666667,2,0.92,7.55,17440,10.9,81,51581,26.321
"CENTRE PA",12.7527272727273,4,0.668428571428571,3,0.98,5.28,18469.5,14.3,54.5,50336,25.657
"CHARLESTON SC",12.5026229508197,3.83333333333333,0.706128205128205,3.66666666666667,0.993333333333333,10.0757575757576,18797.3333333333,12.2333333333333,51.6363636363636,50792,25.449
"CHARLOTTE FL",12.0872727272727,1.33333333333333,0.750315789473684,2.33333333333333,1.04333333333333,6.54545454545454,20343.5,11.3666666666667,51.5,44378,24.687
"CHATHAM GA",16.6633333333333,2.66666666666667,0.873913043478261,2.33333333333333,1,15.9941176470588,17402.2,11.6333333333333,65.6666666666667,45794,28.533
"CHAUTAUQUA NY",1.72961538461538,2.66666666666667,0.365333333333333,2.66666666666667,0.976666666666667,9.85294117647059,17064,12.9666666666667,53,42429,28.114
"CHAVES NM",8.93571428571429,2.5,0.282,2.5,0.95,13.2875,18635.5,12.45,67.6666666666667,39131,27.329
"CHELAN WA",10.7826315789474,4,0.61175,3.5,0.86,8.53636363636364,17174.5,14.3,53.5,51354,23.985
"CHENANGO NY",2.34,3,0.708,3,0.93,7.575,16037,12.8,52,43941,28.276
"CHEROKEE GA",14.5036363636364,3,0.70575,3,1.01,5.88,19175.5,11.9,50,67261,25.034
"CHEROKEE OK",7.82368421052632,3,0.485375,3,0.935,15.65,15914.3333333333,11.65,42,37260,32.786
"CHESHIRE NH",2.214,3,0.5694,4,0.97,8.33333333333333,18509.5,10.9,51,55155,25.84
