"","State","Avg.Overall.Score","Avg.Payment","avg_score","Ques.Std.Score","Timely.Std.Score","Compl.Ratio.Same","Compl.Ratio.Better","Death.Ratio.Same","Death.Ratio.Better"
"1","AK",1.23809523809524,5399.71428571429,74.7142857142857,-0.00994263862332702,2.86233689935218,0.806451612903226,0,0.506122448979592,0.0122448979591837
"2","AL",2.69662921348315,10130.6853932584,76,0.00714285714285716,-0.102049294264795,0.748148148148148,0.0296296296296296,0.760989010989011,0.00641025641025641
"3","AR",2.04,8818.32,75.5714285714286,0.00151228733459357,-2.62807168108936,0.775,0.05625,0.742562929061785,0.0022883295194508
"4","AZ",2.03703703703704,12993.950617284,72.8571428571429,-0.0356862745098038,0.123687600424869,0.827433628318584,0.0442477876106195,0.751412429378531,0.0282485875706215
"5","CA",2.52463768115942,13994.7536231884,71.5714285714286,-0.0542914171656687,6.35943555480025,0.798946444249342,0.019315188762072,0.726528647087145,0.0344246509388541
"6","CO",2.26923076923077,9072.26923076923,76,0.00714285714285716,-5.11782666797323,0.865921787709497,0.0111731843575419,0.684994272623139,0.0206185567010309
"7","CT",2.41935483870968,20310.3870967742,73.1428571428571,-0.031640625,5.18131463539184,0.773913043478261,0,0.879487179487179,0.0358974358974359
"8","DE",3.14285714285714,20272.8571428571,74.1428571428571,-0.0177263969171484,9.98608200667031,0.958333333333333,0,0.9,0.05
"9","FL",2.42245989304813,19270.1497326203,71.8571428571429,-0.0500994035785287,0.455469577039144,0.845112781954887,0.0360902255639098,0.832689832689833,0.0257400257400257
"10","GA",2.38805970149254,11170.447761194,74.7142857142857,-0.00994263862332702,2.61013295046012,0.796747967479675,0.010840108401084,0.718536887786733,0.0167389956602604
"11","HI",1.8695652173913,9096.26086956522,76.1428571428571,0.00900562851782361,3.91247910378596,0.787234042553192,0,0.704081632653061,0.0204081632653061
"12","IA",1.98275862068966,5615.12931034483,78.1428571428571,0.0343692870201097,-5.62157187000184,0.860294117647059,0.0367647058823529,0.645280235988201,0.00589970501474926
"13","ID",1.8780487804878,4831.09756097561,79.2857142857143,0.0482882882882884,-3.62897011935444,0.862745098039216,0.0196078431372549,0.545454545454545,0.024390243902439
"14","IL",2.79329608938547,14047.3184357542,75.5714285714286,0.00151228733459357,-0.881178996659875,0.831983805668016,0.0202429149797571,0.785649819494585,0.0342960288808664
"15","IN",3.26666666666667,12625.475,76.5714285714286,0.0145522388059701,-4.95983985644101,0.831858407079646,0.0353982300884956,0.779342723004695,0.0248155600268276
"16","KS",1.52554744525547,3874.9197080292,77.2857142857143,0.02365988909427,-4.21701707038295,0.757894736842105,0.0368421052631579,0.579529737206086,0.00691562932226833
"17","KY",2.67021276595745,11238.585106383,76.8571428571429,0.0182156133828997,-2.16302347345809,0.777777777777778,0.0288065843621399,0.75089605734767,0.010752688172043
"18","LA",2.19512195121951,8317.91056910569,78.7142857142857,0.0413793103448275,-1.98601331122827,0.798136645962733,0.0186335403726708,0.688115064345193,0.0136260408781226
"19","MA",2.828125,17921,74.7142857142857,-0.00994263862332702,6.69476349586293,0.834042553191489,0.0170212765957447,0.848020434227331,0.0549169859514687
"20","ME",3.33333333333333,17146.6666666667,78.2857142857143,0.036131386861314,2.44108189983765,0.784810126582278,0,0.861111111111111,0.025462962962963
"21","MI",2.65648854961832,12228.4198473282,76,0.00714285714285716,-1.49398726769416,0.753387533875339,0.032520325203252,0.767948717948718,0.033974358974359
"22","MN",2.12213740458015,4450.81679389313,78.1428571428571,0.0343692870201097,-4.47996230402838,0.802083333333333,0.0208333333333333,0.538409703504043,0.00673854447439353
"23","MO",2.29824561403509,10872.4122807018,74.7142857142857,-0.00994263862332702,-1.92067564404817,0.844202898550725,0.0217391304347826,0.739288307915759,0.00944081336238199
"24","MS",1.78125,5943.38541666667,76.7142857142857,0.0163873370577281,-3.4721316259058,0.798969072164949,0.0103092783505155,0.700187969924812,0.00093984962406015
"25","MT",1.32786885245902,3286.67213114754,76.1428571428571,0.00900562851782361,-2.04467302549108,0.875,0.0208333333333333,0.473429951690821,0.0112721417069243
"26","NC",2.87735849056604,14805.679245283,75.7142857142857,0.00339622641509428,1.27820533352052,0.847094801223242,0.0244648318042813,0.820552147239264,0.0191717791411043
"27","ND",1.06818181818182,3577.95454545455,75.7142857142857,0.00339622641509428,-2.99794930962214,0.961538461538462,0.0384615384615385,0.5,0.00847457627118644
"28","NE",1.78888888888889,5073.51111111111,79.1428571428571,0.0465703971119133,-3.48608754760196,0.846938775510204,0.0306122448979592,0.54341164453524,0.00612870275791624
"29","NH",3.46153846153846,15965.1538461538,76.7142857142857,0.0163873370577281,2.26780727417965,0.903846153846154,0.0192307692307692,0.864779874213837,0.0157232704402516
"30","NJ",2.45454545454545,23712.9545454545,71,-0.0627766599597585,5.4116953400038,0.81640625,0.0234375,0.840937114673243,0.0431565967940814
"31","NM",2.07317073170732,6429.19512195122,72.7142857142857,-0.037721021611002,6.22282660158497,0.754716981132076,0,0.69017094017094,0.0106837606837607
"32","NV",1.70588235294118,13475.2058823529,69.2857142857143,-0.0890721649484535,1.92921743782363,0.770114942528736,0.0229885057471264,0.749367088607595,0.00253164556962025
"33","NY",2.04022988505747,17701.6149425287,70.8571428571429,-0.0649193548387096,8.03843448438623,0.747457627118644,0.00677966101694915,0.778727445394112,0.0294396961063628
"34","OH",2.95238095238095,13366.1666666667,76.2857142857143,0.0108614232209739,-3.32233956498809,0.827380952380952,0.00992063492063492,0.812090680100756,0.0261964735516373
"35","OK",2.176,5739.008,77,0.0200371057513915,-4.73971519044459,0.755244755244755,0.020979020979021,0.662817551963048,0.0100076982294072
"36","OR",2.71666666666667,8743.13333333333,75.4285714285714,-0.00037878787878783,0.256439103158289,0.765151515151515,0.0303030303030303,0.755894590846047,0.0110957004160888
"37","PA",2.74705882352941,16331.8176470588,74.4285714285714,-0.0138195777351247,0.0108222519305387,0.797227036395147,0.00346620450606586,0.845196615231458,0.0199104031856645
"38","RI",3.27272727272727,21352.2727272727,75.2857142857143,-0.00227703984819724,5.44495078652059,0.840909090909091,0,0.922480620155039,0.0155038759689922
"39","SC",2.85,12268,75.8571428571429,0.00527306967984942,0.857826982678901,0.793427230046948,0.028169014084507,0.81744966442953,0.0174496644295302
"40","SD",1.15,4015.08333333333,80.4285714285714,0.0618117229129663,-6.4613581927463,0.815789473684211,0,0.498287671232877,0.0171232876712329
"41","TN",2.45045045045045,11110.7027027027,75.2857142857143,-0.00227703984819724,-1.05982949232638,0.780780780780781,0.024024024024024,0.745025792188651,0.00957995578481946
"42","TX",2.24570024570025,9996.82555282555,76.2857142857143,0.0108614232209739,-0.470910246536358,0.800900900900901,0.0261261261261261,0.70059880239521,0.0190729651807496
"43","UT",2.28260869565217,7138,76.5714285714286,0.0145522388059701,-6.93537086517895,0.778688524590164,0.00819672131147541,0.620689655172414,0.0182555780933063
"44","VA",2.69767441860465,16566.1860465116,74.4285714285714,-0.0138195777351247,-1.6652273878371,0.771626297577855,0.0380622837370242,0.867132867132867,0.00799200799200799
"45","VT",2.64285714285714,16863.2857142857,76.4285714285714,0.0127102803738318,2.51901581277714,0.791666666666667,0,0.851190476190476,0.0119047619047619
"46","WA",2.20879120879121,11082.0659340659,74.2857142857143,-0.0157692307692307,1.21358375551497,0.889473684210526,0.0263157894736842,0.72216844143272,0.0261374636979671
"47","WI",3.1984126984127,9342.79365079365,78.4285714285714,0.0378870673952642,-6.59322786765192,0.807692307692308,0.0115384615384615,0.762677484787018,0.0162271805273834
"48","WV",2.22448979591837,11120.2448979592,74.8571428571429,-0.00801526717557244,0.334954806197979,0.836363636363636,0,0.737478411053541,0.00863557858376511
"49","WY",1.96296296296296,3275.96296296296,76.2857142857143,0.0108614232209739,-2.93302097445206,0.767441860465116,0,0.583606557377049,0.00327868852459016
